name,state,countyList
Albany,NY,
Asheville,NC,
Atlanta,GA,
AtlanticCity,NJ,
Augusta,GA,
Baltimore,MD,
Birmingham,AL,
Boston,MA,
Buffalo,NY,
Charlotte,NC,
Cleveland,OH,
Columbus,OH,
Dallas,TX,
Denver,CO,
Duluth,MN,
Erie,PA,
Fresno,CA,
Hartford,CT,
Indianapolis,IN,
Jacksonville,FL,
KansasCity,KS,
Knoxville,TN,
LosAngeles,CA,
Lynchburg,VA,
Madison,WI,
Miami,FL,
Minneapolis,MN,
Mobile,AL,
Montgomery,AL,
NewHaven,CT,
NewOrleans,LA,
NewYork,NY,
Norfolk,VA,
Philadelphia,PA,
Pittsburgh,PA,
Portland,OR,
Richmond,VA,
Roanoke,VA,
Sacramento,CA,
SanDiego,CA,
SanFrancisco,CA,
Seattle,WA,
Spokane,WA,
Springfield,IL,
Springfield,MA,
Springfield,MO,
StLouis,MO,
Syracuse,NY,
Tampa,FL,
Trenton,NJ,
Wichita,KS,
